title,link
A shrinking reservoir signals Ukraine and Russia are waging a dangerous water war,https://www.npr.org/2023/03/22/1164838051/ukraine-russia-war-kakhovka-reservoir
"If there's a war against climate change, Saint-Louis is on the front line. And losing",https://www.npr.org/2023/02/13/1151440938/climate-change-coastal-erosion-unesco-saint-louis-senegal
"Russia is draining a massive Ukrainian reservoir, endangering a nuclear plant",https://www.npr.org/2023/02/10/1155761686/russia-is-draining-a-massive-ukrainian-reservoir-endangering-a-nuclear-plant
What do you want to accomplish in 2023? This New Year's resolution guide can help,https://www.npr.org/2022/12/26/1140731910/new-years-resolution-ideas
"These 7 charts show how life got pricier (and, yes, cheaper!) in 2022",https://www.npr.org/2022/12/22/1144157601/inflation-pricier-cheaper-2022-charts
How I discovered a love for ballet as an adult,https://www.npr.org/2022/12/12/1116469045/ballet-classes
Bills targeting trans youth are growing more common — and radically reshaping lives,https://www.npr.org/2022/11/28/1138396067/transgender-youth-bills-trans-sports
The next round of counting begins in Alaska. Here's how ranked-choice voting works,https://www.npr.org/2022/11/22/1138422560/the-next-round-of-counting-begins-in-alaska-heres-how-ranked-choice-voting-works
Why you should stop complimenting people for being 'resilient',https://www.npr.org/2022/08/16/1117725653/why-being-resilient-might-matter-less-than-you-think
Songs of Remembrance,https://www.npr.org/2022/05/18/1099043448/covid-deaths-faces-songs-playlists
How paying attention can help you appreciate what's right in front of you,https://www.npr.org/2022/05/09/1097583787/jenny-odell-how-to-pay-attention-tips-comic
The ripple effects of Russia's war in Ukraine are changing the world,https://www.npr.org/2022/05/10/1093066817/ukraine-war-gas-prices-refugees
How to tackle workplace conflict head-on,https://www.npr.org/2022/04/07/1091455113/how-to-handle-conflict-at-work
What's your attachment style? Take this quiz to find out,https://www.npr.org/2022/02/09/1079587715/whats-your-attachment-style-quiz
"'I, too, was living a double life': Why trans fans connect to 'The Matrix'",https://www.npr.org/2021/12/22/1066554369/the-matrix-original-trans-fans-resurrections
House retirement tracker: Senior Democrats exit as the GOP is confident of a takeover,https://www.npr.org/2021/12/09/1061182786/house-retirement-tracker-2022-congress-republicans-democrats
Jan. 6 subpoena tracker: Here's who the House select committee wants to hear from,https://www.npr.org/2021/11/06/1051652687/jan-6-panel-and-subpoenas-committee-targets-witnesses-linked-to-day-of-attack
These 4 charts explain why the stakes are so high at the U.N. climate summit,https://www.npr.org/2021/10/29/1045344199/cop26-glasgow-climate-summit
Taking up space at work isn't easy. Here's how employees can speak up for one another,https://www.npr.org/2021/10/02/1042048780/stop-getting-interrupted-tips
What The New Census Data Shows About Race Depends On How You Look At It,https://www.npr.org/2021/08/13/1014710483/2020-census-data-us-race-ethnicity-diversity
"Wildfire Risk Is Growing Everywhere, Even As More Americans Move Into Harm's Way",https://www.npr.org/2021/08/10/1025347899/us-wildfires-impact-environment-climate-change
Feeling blah? Take a joy break,https://www.npr.org/2021/06/29/1010085885/science-joy-generator
6 Charts That Dismantle The Trope Of Asian Americans As A Model Minority,https://www.npr.org/2021/05/25/999874296/6-charts-that-dismantle-the-trope-of-asian-americans-as-a-model-minority
COMIC: How to intervene when someone is harassed or attacked,https://www.npr.org/2021/05/10/995423418/comic-how-to-intervene-when-someone-is-harassed-or-attacked
"Here's How The 1st 2020 Census Results Changed Electoral College, House Seats",https://www.npr.org/2021/04/26/983082132/census-to-release-1st-results-that-shift-electoral-college-house-seats
"COMIC: For my job, I check death tolls from COVID. Why am I numb to the numbers?",https://www.npr.org/sections/goatsandsoda/2021/04/25/987208356/comic-how-i-cope-with-pandemic-numbness
COMIC: How Your State Wins Or Loses Political Power Through The Census,https://www.npr.org/2021/04/12/983448333/comic-how-your-state-wins-or-loses-political-power-through-the-census
How are the COVID-19 vaccine and booster campaigns going in your state?,https://www.npr.org/sections/health-shots/2021/01/28/960901166/how-is-the-covid-19-vaccination-campaign-going-in-your-state
COMIC: How Your State Gets Power Via The Census (And What Trump Wants To Change),https://www.npr.org/2020/12/31/950071851/comic-how-the-census-turns-into-political-power-and-what-trump-wants-to-change
Narrow Wins In These Key States Powered Biden To The Presidency,https://www.npr.org/2020/12/02/940689086/narrow-wins-in-these-key-states-powered-biden-to-the-presidency
How Biden Won: Ramping Up The Base And Expanding Margins In The Suburbs,https://www.npr.org/2020/11/18/935730100/how-biden-won-ramping-up-the-base-and-expanding-margins-in-the-suburbs
Where Presidential Election Votes Are Still Being Counted,https://www.npr.org/2020/11/05/931689853/how-vote-counting-is-going-in-the-final-states-waiting-to-be-called
How Many Votes Have Been Counted In Undecided States,https://www.npr.org/2020/11/04/931267485/where-vote-totals-stand-in-the-states-that-have-yet-to-be-called
COMIC: You're Wearing It Wrong! A Face Mask Safety Refresher,https://www.npr.org/sections/health-shots/2020/10/10/921596561/comic-youre-wearing-it-wrong-a-face-mask-safety-refresher
"After Months of Steep Declines, Air Traffic Is Picking Up",https://www.npr.org/2020/05/23/861242027/after-months-of-steep-declines-air-traffic-is-picking-up
Comic: Fake News Can Be Deadly. Here's How To Spot It,https://www.npr.org/2020/04/17/837202898/comic-fake-news-can-be-deadly-heres-how-to-spot-it
Tracking the coronavirus around the U.S.: See how your state is doing,https://www.npr.org/sections/health-shots/2020/09/01/816707182/map-tracking-the-spread-of-the-coronavirus-in-the-u-s
More Teens Than Ever Are Vaping. Here's What We Know About Their Habits,https://www.npr.org/sections/health-shots/2019/11/06/776397270/more-teens-than-ever-are-vaping-heres-what-we-know-about-their-habits
